# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
104,1766563528.1798043,332800,-0.6560507416725159,81.66666412353516,0.9937973022460938,0.7026328444480896,47.70000076293945,0.20593714714050293,-0.6526127457618713,73.45000457763672,0.872691810131073,0.6627193093299866,67.6279067993164,0.8592578172683716
105,1766563537.134207,336000,-0.6488491296768188,112.55999755859375,0.9998682737350464,0.7026328444480896,47.70000076293945,0.20593714714050293,-0.6526127457618713,73.45000457763672,0.872691810131073,0.6627193093299866,67.6279067993164,0.8592578172683716
106,1766563537.466272,339200,-0.6488491296768188,112.55999755859375,0.9998682737350464,0.7026328444480896,47.70000076293945,0.20593714714050293,-0.6477781534194946,102.3448257446289,1.057402491569519,0.6627193093299866,67.6279067993164,0.8592578172683716
107,1766563537.6777782,342400,-0.6488491296768188,112.55999755859375,0.9998682737350464,0.6998716592788696,70.59091186523438,0.9858332872390747,-0.6477781534194946,102.3448257446289,1.057402491569519,0.6627193093299866,67.6279067993164,0.8592578172683716
108,1766563538.4379036,345600,-0.6488491296768188,112.55999755859375,0.9998682737350464,0.6998716592788696,70.59091186523438,0.9858332872390747,-0.6477781534194946,102.3448257446289,1.057402491569519,0.6590074896812439,91.59375,0.8914808630943298
109,1766563546.836889,348800,-0.6488491296768188,112.55999755859375,0.9998682737350464,0.6998716592788696,70.59091186523438,0.9858332872390747,-0.6477781534194946,102.3448257446289,1.057402491569519,0.6480764746665955,105.29412078857422,0.9224340319633484
110,1766563549.304235,352000,-0.6488491296768188,112.55999755859375,0.9998682737350464,0.6998716592788696,70.59091186523438,0.9858332872390747,-0.6426823139190674,96.3499984741211,0.7615549564361572,0.6480764746665955,105.29412078857422,0.9224340319633484
111,1766563549.7257733,355200,-0.6440474987030029,96.0,0.9926867485046387,0.6998716592788696,70.59091186523438,0.9858332872390747,-0.6426823139190674,96.3499984741211,0.7615549564361572,0.6480764746665955,105.29412078857422,0.9224340319633484
112,1766563552.146452,358400,-0.6440474987030029,96.0,0.9926867485046387,0.693631112575531,61.73684310913086,0.7208544015884399,-0.6426823139190674,96.3499984741211,0.7615549564361572,0.6480764746665955,105.29412078857422,0.9224340319633484
113,1766563560.4365027,361600,-0.6521948575973511,55.825401306152344,0.989048421382904,0.693631112575531,61.73684310913086,0.7208544015884399,-0.6426823139190674,96.3499984741211,0.7615549564361572,0.6480764746665955,105.29412078857422,0.9224340319633484
