# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
340,1766559527.1177883,1088000,0.06410255283117294,1987.0,0.9974408745765686,-0.05128205940127373,1320.5,0.9590962529182434,0.1290043294429779,1414.5,0.959279477596283,-0.0640350952744484,1241.0,0.9985445737838745
341,1766559535.6886995,1091200,0.06410255283117294,1987.0,0.9974408745765686,-0.05128205940127373,1320.5,0.9590962529182434,0.12735043466091156,1428.5,0.9949551224708557,-0.0640350952744484,1241.0,0.9985445737838745
342,1766559538.6128757,1094400,0.06410255283117294,1987.0,0.9974408745765686,-0.05128205940127373,1320.5,0.9590962529182434,0.12735043466091156,1428.5,0.9949551224708557,-0.06320346891880035,1673.0,1.0042788982391357
343,1766559544.6893437,1097600,0.06340578198432922,2195.0,1.0027400255203247,-0.05128205940127373,1320.5,0.9590962529182434,0.12735043466091156,1428.5,0.9949551224708557,-0.06320346891880035,1673.0,1.0042788982391357
344,1766559544.801792,1100800,0.06340578198432922,2195.0,1.0027400255203247,-0.05660377815365791,918.3333740234375,1.0668740272521973,0.12735043466091156,1428.5,0.9949551224708557,-0.06320346891880035,1673.0,1.0042788982391357
345,1766559553.9136693,1104000,0.06340578198432922,2195.0,1.0027400255203247,-0.05660377815365791,918.3333740234375,1.0668740272521973,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
346,1766559561.4164605,1107200,0.05197133123874664,2343.0,1.0026510953903198,-0.05660377815365791,918.3333740234375,1.0668740272521973,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
347,1766559564.2656898,1110400,0.06205674260854721,2714.0,1.002211570739746,-0.05660377815365791,918.3333740234375,1.0668740272521973,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
348,1766559567.476455,1113600,0.07192983478307724,2613.0,1.0012999773025513,-0.05660377815365791,918.3333740234375,1.0668740272521973,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
349,1766559568.2394397,1116800,0.07192983478307724,2613.0,1.0012999773025513,-0.037037041038274765,1494.0,0.945766031742096,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
350,1766559571.3438578,1120000,0.0711805671453476,1633.5,1.000816822052002,-0.037037041038274765,1494.0,0.945766031742096,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
351,1766559572.2739584,1123200,0.0711805671453476,1633.5,1.000816822052002,-0.0363636389374733,1032.0,0.927484393119812,0.12735043466091156,1428.5,0.9949551224708557,-0.06239316985011101,1659.0,0.9966951608657837
352,1766559576.139866,1126400,0.0711805671453476,1633.5,1.000816822052002,-0.0363636389374733,1032.0,0.927484393119812,0.12320675700902939,1764.0,1.05265474319458,-0.06239316985011101,1659.0,0.9966951608657837
353,1766559576.7507656,1129600,0.06013746187090874,1874.0,1.0005396604537964,-0.0363636389374733,1032.0,0.927484393119812,0.12320675700902939,1764.0,1.05265474319458,-0.06239316985011101,1659.0,0.9966951608657837
354,1766559579.3822417,1132800,0.06013746187090874,1874.0,1.0005396604537964,-0.017857147380709648,1200.0,0.8948555588722229,0.12320675700902939,1764.0,1.05265474319458,-0.06239316985011101,1659.0,0.9966951608657837
355,1766559582.426725,1136000,0.049319732934236526,1847.0,1.0008901357650757,-0.017857147380709648,1200.0,0.8948555588722229,0.12320675700902939,1764.0,1.05265474319458,-0.06239316985011101,1659.0,0.9966951608657837
356,1766559583.6362112,1139200,0.049319732934236526,1847.0,1.0008901357650757,-0.017857147380709648,1200.0,0.8948555588722229,0.12320675700902939,1764.0,1.05265474319458,-0.055274270474910736,2241.75,1.014269471168518
357,1766559583.7228963,1142400,0.049319732934236526,1847.0,1.0008901357650757,-0.017857147380709648,1200.0,0.8948555588722229,0.10916667431592941,1396.5,1.0409821271896362,-0.055274270474910736,2241.75,1.014269471168518
358,1766559588.8557074,1145600,0.05892256647348404,2117.0,1.00077486038208,-0.017857147380709648,1200.0,0.8948555588722229,0.10916667431592941,1396.5,1.0409821271896362,-0.055274270474910736,2241.75,1.014269471168518
359,1766559590.331052,1148800,0.05892256647348404,2117.0,1.00077486038208,-0.017857147380709648,1200.0,0.8948555588722229,0.10916667431592941,1396.5,1.0409821271896362,-0.042083341628313065,1103.0,1.0126179456710815
360,1766559593.0068192,1152000,0.05892256647348404,2117.0,1.00077486038208,-0.023391814902424812,1274.0,0.9610381722450256,0.10916667431592941,1396.5,1.0409821271896362,-0.042083341628313065,1103.0,1.0126179456710815
361,1766559594.2983453,1155200,0.05892256647348404,2117.0,1.00077486038208,-0.023391814902424812,1274.0,0.9610381722450256,0.10781893134117126,1692.5,1.0104345083236694,-0.042083341628313065,1103.0,1.0126179456710815
362,1766559596.300661,1158400,0.05892256647348404,2117.0,1.00077486038208,-0.023391814902424812,1274.0,0.9610381722450256,0.10781893134117126,1692.5,1.0104345083236694,-0.02921810932457447,1325.0,1.0106067657470703
